Word,Emotion,Figurative,Physical,Emotion_sticky,Figurative_sticky,Physical_sticky
his,,,,,,
face,,,1,,,
"tear-streaked,",1,,,,,
clutching,,,,,,
his,,,,,,
"wrist,",,,1,,,
hobbled,,,,,,
off,,,,,,
with,,,,,,
Madam,,,1,,,
"Hooch,",,,1,,,
who,,,,,,
had,,,,,,
her,,,,,,
arm,,,,,,
around,,,,,,
him.,,,,,,
,,,,,,
No,,,,,,
sooner,,,,,,
were,,,,,,
they,,,,,,
out,,,,,,
of,,,,,,
earshot,,,,,,
than,,,,,,
Malfoy,,,1,,,
burst,1,,,,,
into,1,,,,,
laughter.,1,,,,,
,,,,,,
"""Did",,,,,,
you,,,,,,
see,,,,,,
his,,,,,,
"face,",,,1,,,
the,,,,,,
great,,,,,,
"lump?""",,1,,,,
,,,,,,
The,,,,,,
other,,,,,,
Slytherins,,,,,,
joined,,,,,,
in.,,,,,,
,,,,,,
"""Shut",,,,,,
"up,",,,,,,
"Malfoy,""",,,,,,
snapped,1,,,,,
Parvati,,,1,,,
Patil.,,,1,,,
,,,,,,
"""Ooh,",,,,,,
sticking,,1,,,,
up,,1,,,,
for,,,,,,
"Longbottom?""",,,1,,,
said,,,,,,
Pansy,,,1,,,
"Parkinson,",,,1,,,
a,,,,,,
hard-faced,,1,,,,
Slytherin,,,,,,
girl.,,,,,,
"""Never",,,,,,
thought,,,,,,
you'd,,,,,,
like,,,,,,
fat,,,,,,
little,,,,,,
"crybabies,",1,,,,,
"Parvati.""",,,1,,,
,,,,,,
"""Look!""",,,,,,
said,,,,,,
"Malfoy,",,,1,,,
darting,,,,,,
forward,,,,,,
and,,,,,,
snatching,,,,,,
something,,,,,,
out,,,,,,
of,,,,,,
the,,,,,,
grass.,,,1,,,
"""It's",,,,,,
that,,,,,,
stupid,,,,,,
thing,,,,,,
Longbottom's,,,1,,,
gran,,,1,,,
sent,,,,,,
"him.""",,,,,,
,,,,,,
The,,,,,,
Remembrall,,,1,,,
glittered,,,,,,
in,,,,,,
the,,,,,,
sun,,,1,,,
as,,,,,,
he,,,,,,
held,,,,,,
it,,,,,,
up.,,,,,,
,,,,,,
"""Give",,,,,,
that,,,,,,
"here,",,,,,,
"Malfoy,""",,,1,,,
said,,,,,,
Harry,,,1,,,
quietly.,1,,,,,
Everyone,,,,,,
stopped,,,,,,
talking,,,,,,
to,,,,,,
watch.,,,,,,
,,,,,,
Malfoy,,,1,,,
smiled,,,,,,
nastily.,1,,,,,
"""I",,,,,,
think,,,,,,
I'll,,,,,,
leave,,,,,,
it,,,,,,
somewhere,,,,,,
for,,,,,,
Longbottom,,,1,,,
to,,,,,,
find,,,,,,
--,,,,,,
how,,,,,,
about,,,,,,
--,,,,,,
up,,,,,,
a,,,,,,
"tree?""",,,1,,,
,,,,,,
"""Give",,,,,,
it,,,,,,
"here!""",,,,,,
Harry,,,1,,,
"yelled,",1,,,,,
but,,,,,,
Malfoy,,,1,,,
had,,,,,,
leapt,,,,,,
onto,,,,,,
his,,,,,,
broomstick,,,1,,,
and,,,,,,
taken,,,,,,
off.,,,,,,
He,,,,,,
hadn't,,,,,,
been,,,,,,
"lying,",,,,,,
he,,,,,,
could,,,,,,
fly,,,,,,
well.,,,,,,
Hovering,,,,,,
level,,,,,,
with,,,,,,
the,,,,,,
topmost,,,,,,
branches,,,1,,,
of,,,,,,
an,,,,,,
oak,,,1,,,
he,,,,,,
"called,",,,,,,
"""Come",,,,,,
and,,,,,,
get,,,,,,
"it,",,,,,,
"Potter!""",,,1,,,
,,,,,,
Harry,,,1,,,
grabbed,,,,,,
his,,,,,,
broom.,,,1,,,
,,,,,,
"""No!""",,,,,,
shouted,,,,,,
Hermione,,,1,,,
Granger.,,,1,,,
"""Madam",,,1,,,
